Report Report

item id,item name,quantity,serial number,serial comment,age in days,age in months
2,PS5 SLIM DISC,13,S01E45601CE810573040,,86,2.8
,,,S01E45601CE810576101,,86,2.8
,,,S01E45601CE810576162,,86,2.8
,,,S01E45601CE810578011,,86,2.8
,,,S01E45601CE810578019,,86,2.8
,,,S01E45601CE810580025,,86,2.8
,,,S01F55901DR210315410,,57,1.9
,,,S01M45601K1W11165182,,103,3.4
,,,S01V55701Z1L10846630,,103,3.4
,,,S01V55801Z1L11001841,,103,3.4
,,,S01V55801Z1L11081301,,103,3.4
,,,S01V55801Z1L11086045,,103,3.4
,,,S01V55801Z1L11086063,,103,3.4
3,PS5 SLIM DIGITAL,14,S0115405247,,103,3.4
,,,S011558343F,,103,3.4
,,,S01E55901J5310253691,,57,1.9
,,,S01E55901J5310253692,,57,1.9
,,,S01E55901J5310259303,,57,1.9
,,,S01E55901J5310259304,,57,1.9
,,,S01E55A01J5310265193,,57,1.9
,,,S01E55A01J5310265194,,57,1.9
,,,S01V55901UNL11544723,,58,1.9
,,,ps5slimdigital00175,,86,2.8
,,,ps5slimdigital00176,,86,2.8
,,,ps5slimdigital00177,,86,2.8
,,,ps5slimdigital00178,,103,3.4
,,,ps5slimdigital00179,,103,3.4
4,PS5 DUAL SENSE CONTROLLER,7,dualsensewirelesscontroller00051,,58,1.9
,,,dualsensewirelesscontroller00061,,14,0.5
,,,dualsensewirelesscontroller00062,,14,0.5
,,,dualsensewirelesscontroller00063,,14,0.5
,,,dualsensewirelesscontroller00064,,14,0.5
,,,dualsensewirelesscontroller00065,,14,0.5
,,,dualsensewirelesscontroller00066,,14,0.5
9,DJI MINI 4 PRO STANDARD,18,1581F6Z9A248WML30TXY,,103,3.4
,,,1581F6Z9A248WML359Z9,,103,3.4
,,,1581F6Z9A248WML3E8GD,,103,3.4
,,,1581F6Z9A248WML3KK1E,,103,3.4
,,,1581F6Z9A248WML3S898,,103,3.4
,,,1581F6Z9A248WML3X76X,,103,3.4
,,,1581F6Z9A24CPML325EM,,103,3.4
,,,1581F6Z9A24CRML3CZ3H,,103,3.4
,,,1581F6Z9C23AP003DC6C,,103,3.4
,,,1581F6Z9C245N003TEC4,,103,3.4
,,,1581F6Z9C2516003AMFM,,103,3.4
,,,1581F6Z9C2517003AMZ4,,103,3.4
,,,1581F6Z9C2519003AY0G,,103,3.4
,,,1581F6Z9C2519003AYFZ,,103,3.4
,,,1581F6Z9C2542003DDKL,,103,3.4
,,,1581F6Z9C2554003FALV,,103,3.4
,,,1581F6Z9C2557003FN58,,103,3.4
,,,1581F6Z9C2557003FNTS,,103,3.4
21,NINJA SLUSHI,7,ninjaslushi0001,,103,3.4
,,,ninjaslushi0002,,103,3.4
,,,ninjaslushi0003,,103,3.4
,,,ninjaslushi0004,,103,3.4
,,,ninjaslushi0005,,103,3.4
,,,ninjaslushi0006,,103,3.4
,,,ninjaslushi0007,,103,3.4
